#{"t_start": 1680493345.1918354, "env_id": null}
r,l,t
121.963397,1218,4.678451
150.73549,1321,10.670471
-68.875587,1685,16.915831
110.079359,1992,23.723121
-142.422045,2475,30.929999
25.618847,2409,37.817851
-10.399282,2048,44.290086
103.210152,2378,51.321482
-10.83336,1410,56.861604
-109.50968,2320,63.936125
-56.133868,1884,70.48871
-1.263258,3856,83.55072
137.096617,1955,89.782694
-173.590936,2482,96.620559
-32.06399,2622,103.507519
-33.546645,2359,110.155689
247.618832,631,114.254022
34.18776,1988,121.014232
-16.0,2372,128.411761
142.528257,1504,131.040915
-35.511721,2100,141.725583
210.669563,1386,144.090119
106.166972,1756,150.146413
-291.452157,1771,156.139224
-103.271598,2993,163.884984
-3.09159,2881,176.148215
-69.312432,2968,184.263354
11.966888,3420,196.801994
-72.699861,2025,203.564955
-148.405698,1736,209.933663
-6.505259,2863,217.596923
-45.308495,1642,223.866472
-60.133868,1684,230.124691
20.320741,1912,236.920414
12.850028,3201,245.687548
44.331029,2020,252.592099
4.970357,2426,260.241496
-26.074153,3193,272.014878
41.36973,2057,278.669485
-58.986068,1951,285.105779
-6.22689,3090,293.487389
42.518735,2469,304.130861
28.699296,1979,310.846102
-0.123948,2276,318.259012
-130.860871,3166,326.553931
-94.074138,2784,337.55811
-6.779892,1688,340.079623
-2.846787,1842,346.163562
-6.846787,2137,352.507397
74.03875,2905,364.386266
91.493381,1660,370.441151
-60.286049,1502,372.846128
-127.450026,2030,379.306661
-90.028712,1565,385.293074
-45.615818,2020,391.765668
-49.94699,3488,403.627649
-90.632338,2270,410.494766
46.011777,3184,419.074744
-11.461924,2326,429.595886
181.774886,1260,431.709853
-40.06399,2863,442.810548
-90.86073,2232,449.485116
72.549001,2173,455.957089
66.832361,1597,461.523406
29.003218,1923,464.330122
-57.986068,3347,476.034669
175.784026,1320,481.626563
-328.0,1320,483.822258
-81.578734,2842,495.411107
72.161772,1818,501.982363
